Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
creo,q,ya,1,10,0.1
de,ellas,ya,1,2,0.5
siii,jajajaj,ya,1,1,1.0
nemonemo,yo,ya,1,1,1.0
veces,jajaj,ya,1,1,1.0
q,saku,ya,1,1,1.0
miedo,ahorita,ya,1,1,1.0
casa,etooo,ya,1,1,1.0
estoy,marcando,ya,1,1,1.0
pero,naaaa,ya,1,1,1.0
nuestra,casa,ya,1,1,1.0
jeje,esa,ya,1,1,1.0
lo,q,ya,1,6,0.16666666666666666
jajajaj,no,ya,1,4,0.25
10,ah,ya,1,1,1.0
o,porque,ya,1,1,1.0
hace,eso,ya,1,1,1.0
chi,jjajajaj,ya,1,1,1.0
baja,estadistica,ya,1,1,1.0
y,pues,ya,1,1,1.0
queda,corregido,ya,1,1,1.0
dijo,algo,ya,1,1,1.0
q,hay,ya,1,1,1.0
nada,jaja,ya,1,1,1.0
jaja,ya,ya,1,1,1.0
de,mañana,ya,1,1,1.0
el,chiko,ya,1,1,1.0
nooo,niyo,y,1,1,1.0
tarea,vale,y,1,1,1.0
apenas,es,y,1,1,1.0
estoy,mejor,y,1,1,1.0
q,tal,y,1,7,0.14285714285714285
olaf,oo,y,1,1,1.0
kpoper,sii,y,1,1,1.0
de,ayer,y,1,1,1.0
hizo,claro,y,1,1,1.0
bailar,kpop,y,1,1,1.0
mimi,bn,y,1,3,0.3333333333333333
tt,bien,y,1,1,1.0
a,no,y,1,3,0.3333333333333333
xd,0,y,1,1,1.0
ya,bien,y,1,1,1.0
mañana,quiza,y,1,1,1.0
xd,x2,y,1,1,1.0
tengo,examen,y,1,1,1.0
soñe,nada,y,1,1,1.0
en,casa,y,1,1,1.0
si,jajajja,y,1,2,0.5
dormi,bien,y,1,2,0.5
caps,buenos,y,1,1,1.0
to,bien,y,2,3,0.6666666666666666
mimi,bien,y,1,2,0.5
aca,eii,y,1,1,1.0
colores,jaajjaja,y,1,1,1.0
bn,tryhard,y,1,1,1.0
muy,importante,y,1,1,1.0
tipo,tesis,y,1,1,1.0
idea,primero,y,1,1,1.0
claro,suerte,y,1,1,1.0
lo,peor,y,1,1,1.0
un,monton,y,1,3,0.3333333333333333
saske,no,y,1,1,1.0
y,tu,y,1,7,0.14285714285714285
dice,si,y,1,1,1.0
a,jajajaja,y,1,1,1.0
ayudas,jajajaja,y,1,1,1.0
llama,ella,y,1,1,1.0
con,bp,y,1,1,1.0
a,jennie,y,1,1,1.0
me,gustan,y,1,3,0.3333333333333333
lisa,jennie,y,1,1,1.0
la,guglie,y,1,1,1.0
creo,26,y,1,1,1.0
ah,va,y,1,1,1.0
de,monika,y,1,1,1.0
salsa,catsup,y,1,1,1.0
neni,girl,y,1,1,1.0
al,eje,y,1,1,1.0
las,probe,y,1,1,1.0
problema,jaja,y,1,1,1.0
tabn,va,y,1,1,1.0
ahi,voy,y,1,1,1.0
habia,clavado,xx,1,1,1.0
cajeta,dame,xfavor,1,1,1.0
drizzzz,si,xfa,1,1,1.0
bibliotek,oye,xfa,1,1,1.0
un,1010,xdd,1,1,1.0
habia,visto,xdd,1,2,0.5
esas,jajaj,xd,1,1,1.0
grasias,poke,xd,1,1,1.0
bno,nimo2,xd,1,1,1.0
kiera,jajajaj,xd,1,1,1.0
uy,no,xd,1,3,0.3333333333333333
fav,si,xd,1,1,1.0
jajajj,siii,xd,1,1,1.0
jajajajajaj,x222,xd,1,1,1.0
si,si,xd,1,8,0.125
how,sweet,xd,1,1,1.0
vale,yayaya,xd,1,1,1.0
cuanto,noooo,xd,1,1,1.0
mi,escuela,xd,1,4,0.25
vez,jajajaj,xd,1,2,0.5
este,concepto,xd,1,1,1.0
sabe,jajajaja,xd,1,1,1.0
bien,jajaja,xd,1,1,1.0
eso,gracias,xd,1,2,0.5
va,gracias,xd,1,2,0.5
grupo,aaaaa,xciertooo,1,1,1.0
leon,aaaa,xcierto,1,1,1.0
va,jajajajajaj,x222,1,1,1.0
si,xfa,x222,1,1,1.0
ayer,si,x222,1,1,1.0
jajaj,silensio,x2,1,1,1.0
asustada,eiii,x2,1,1,1.0
go,jajaj,x2,1,1,1.0
si,ekis,x2,1,1,1.0
dias,chika,x2,1,1,1.0
x222,xd,x2,1,1,1.0
si,q,x2,1,4,0.25
kreo,no,x2,1,1,1.0
con,zarzamora,x2,1,1,1.0
mas,chefsito,x2,1,1,1.0
parece,eta,x2,1,1,1.0
vida,real,x2,1,2,0.5
la,crei,x2,1,1,1.0
hablar,ontan,x100000,1,1,1.0
jajaja,gracias,x,1,1,1.0
siii,no,x,1,2,0.5
q,irse,x,1,1,1.0
a,nadie,x,1,1,1.0
lo,decia,x,1,1,1.0
seee,pero,x,1,1,1.0
coinsido,aca,x,1,1,1.0
supiste,pero,x,1,1,1.0
un,impermeable,x,1,1,1.0
si,nomas,x,1,1,1.0
jajaja,esta,x,1,1,1.0
de,ellas,x,1,2,0.5
a,gerry,x,1,1,1.0
la,variable,x,1,1,1.0
para,mañana,wwww,1,2,0.5
muchas,cosas,wuuu,1,1,1.0
cuando,vino,wtf,1,1,1.0
26,y,wonyo,1,1,1.0
esperaban,sii,winter,1,1,1.0
el,de,wintar,1,2,0.5
ya,escuchaste,whiplash,1,3,0.3333333333333333
neta,si,wey,1,1,1.0
q,pasa,we,1,2,0.5
ejemplos,de,vínculos,1,1,1.0
hago,si,voy,1,1,1.0
sea,prudente,voy,1,1,1.0
eso,sip,voy,1,1,1.0
si,ya,voy,1,7,0.14285714285714285
si,me,voy,1,9,0.1111111111111111
se,los,voy,1,1,1.0
hasta,ahi,voy,1,1,1.0
cuanto,a,vocal,1,1,1.0
bueno,ojala,vivir,1,1,1.0
jajaja,sigo,viva,1,1,1.0
lo,habia,vistoooo,1,2,0.5
me,hubiera,visto,1,1,1.0
nunca,habia,visto,1,1,1.0
tiktok,he,visto,1,1,1.0
no,habia,visto,1,1,1.0
lo,he,visto,1,1,1.0
omggg,cuando,vino,1,1,1.0
q,ni,vimos,1,2,0.5
oye,que,vieron,1,1,1.0
pasanos,loq,vieron,1,1,1.0
extendido,este,viernes,1,1,1.0
luego,ni,viene,1,1,1.0
hay,varios,videos,1,1,1.0
saben,la,vida,1,1,1.0
por,la,vida,1,1,1.0
jugue,la,vida,1,1,1.0
va,la,vida,1,2,0.5
asi,la,vida,1,1,1.0
en,la,vida,2,12,0.16666666666666666
akii,me,vicie,1,1,1.0
me,da,vibes,1,4,0.25
siii,si,vi,1,3,0.3333333333333333
yo,te,vi,1,1,1.0
yo,si,vi,1,3,0.3333333333333333
si,no,vi,1,9,0.1111111111111111
no,lo,vi,1,3,0.3333333333333333
jajaja,tal,vez,1,1,1.0
se,tal,vez,1,1,1.0
provecho,tal,vez,1,1,1.0
nada,tal,vez,1,1,1.0
hechos,tal,vez,1,1,1.0
fallo,esta,vez,1,1,1.0
la,primera,vez,1,2,0.5
el,ark,ves,1,1,1.0
pues,ya,ves,1,2,0.5
me,deja,verlo,1,1,1.0
mimir,adios,vere,1,1,1.0
feo,animo,veras,1,1,1.0
pq,queria,ver,1,1,1.0
yo,al,ver,1,1,1.0
enseñamelo,para,ver,1,1,1.0
tendria,q,ver,1,1,1.0
va,a,ver,1,4,0.25
mañana,a,ver,1,1,1.0
na,pq,veo,1,1,1.0
orita,las,veo,1,1,1.0
empezaron,a,venir,1,1,1.0
si,ya,vengo,1,7,0.14285714285714285
gusto,yo,vengo,1,1,1.0
queso,son,vendidos,1,1,1.0
fuera,a,vender,1,1,1.0
donde,los,venden,1,1,1.0
donde,lo,venden,1,1,1.0
si,lo,venden,1,5,0.2
ay,los,vende,1,1,1.0
conocia,se,ven,1,1,1.0
todas,se,ven,1,1,1.0
depas,tr,vemos,1,1,1.0
diferencia,de,velocidad,1,1,1.0
tempra,a,veces,1,1,1.0
como,10000,veces,1,1,1.0
como,50,veces,1,1,1.0
si,se,vea,1,3,0.3333333333333333
eseee,se,ve,1,1,1.0
bien,siiii,ve,1,1,1.0
jajajaja,y,ve,1,2,0.5
winter,se,ve,1,1,1.0
omg,se,ve,1,1,1.0
ek,tal,ve,1,1,1.0
no,se,ve,1,16,0.0625
vda,el,vddero,1,1,1.0
si,si,vdd,1,8,0.125
si,la,vdd,1,2,0.5
uu,de,vdd,1,2,0.5
eso,es,vdd,1,1,1.0
puedo,de,vdd,1,1,1.0
ola,ojala,vdd,1,1,1.0
q,de,vdd,1,1,1.0
kisiese,la,vdd,1,1,1.0
la,conoces,vdd,1,1,1.0
cuando,es,vdd,1,1,1.0
su,ojo,vdd,1,1,1.0
baemon,la,vdd,1,1,1.0
apoko,no,vdd,1,1,1.0
siguiente,la,vdd,1,1,1.0
dificil,la,vda,1,1,1.0
sp,bn,vda,1,1,1.0
maso,la,vda,1,1,1.0
jajajaja,si,vda,1,3,0.3333333333333333
prox,año,vda,1,1,1.0
nooombre,la,vda,1,1,1.0
que,te,vaya,1,1,1.0
pero,caro,vavava,1,1,1.0
siii,xd,vavav,1,1,1.0
que,me,vas,1,2,0.5
hecho,hay,varios,1,1,1.0
de,la,variable,1,7,0.14285714285714285
este,ejercicio,van,1,1,1.0
se,la,van,1,1,1.0
oki,hoy,vamos,1,1,1.0
pues,hay,vamos,1,1,1.0
chika,se,vamos,1,1,1.0
para,cada,valor,1,1,1.0
de,tarea,vale,1,2,0.5
duermes,va,vale,1,1,1.0
q,dices,vale,1,3,0.3333333333333333
dices,vale,vale,1,1,1.0
30,a,vale,1,1,1.0
sepa,sii,vale,1,1,1.0
el,examen,vale,1,2,0.5
mi,carpeta,vale,1,1,1.0
carpeta,vale,vale,1,1,1.0
nomas,corre,vale,1,1,1.0
corre,vale,vale,1,1,1.0
q,horror,vale,1,2,0.5
non,jajjaja,vaaa,1,1,1.0
mañana,jugamo,va,1,1,1.0
jugamo,jajajaja,va,1,1,1.0
roblo,jajajajaj,va,1,1,1.0
akiora,duermes,va,1,1,1.0
chi,jajajaj,va,1,1,1.0
de,q,va,1,13,0.07692307692307693
tal,como,va,1,1,1.0
no,se,va,1,16,0.0625
si,ya,va,1,7,0.14285714285714285
orita,sii,va,1,1,1.0
q,luego,va,1,2,0.5
cuando,la,va,1,1,1.0
perdono,ah,va,1,1,1.0
no,te,va,1,5,0.2
nos,faltaban,va,1,1,1.0
se,les,va,1,1,1.0
como,oyeeeee,va,1,1,1.0
pasas,tabn,va,1,1,1.0
1010,xdd,uy,1,1,1.0
algo,basico,uy,1,1,1.0
paso,tt,uy,1,1,1.0
si,sas,uuuuu,1,1,1.0
la,vda,uu,1,3,0.3333333333333333
mucho,sueño,uu,1,1,1.0
enterro,nada,uu,1,1,1.0
de,existir,uu,1,1,1.0
q,teniamos,uu,1,1,1.0
no,tengo,uu,1,5,0.2
una,memoria,usb,1,1,1.0
no,lo,usan,1,3,0.3333333333333333
digamos,entregar,unos,1,1,1.0
miraaaa,habra,uno,1,1,1.0
gracias,es,uno,1,1,1.0
eres,el,unico,1,1,1.0
vivir,en,una,1,1,1.0
todos,queremos,una,1,1,1.0
ando,haciendo,una,1,1,1.0
chika,eres,una,1,1,1.0
escuela,hay,una,1,1,1.0
señor,es,una,1,1,1.0
me,parece,una,1,1,1.0
de,ser,una,1,1,1.0
hecho,tenia,una,1,1,1.0
q,es,una,1,5,0.2
pq,hay,una,1,1,1.0
se,imaginan,una,1,1,1.0
no,tengo,una,1,5,0.2
ve,meta,una,1,1,1.0
precio,de,una,1,1,1.0
que,necesito,una,1,1,1.0
y,trngo,un,1,1,1.0
puedo,tengo,un,1,1,1.0
dsrme,tmb,un,1,1,1.0
mañana,busquemos,un,1,1,1.0
pq,soy,un,1,1,1.0
mañana,tengo,un,1,1,1.0
vida,de,un,3,4,0.75
a,comer,un,1,1,1.0
me,falta,un,1,1,1.0
deberian,hacer,un,1,1,1.0
jajajja,a,un,1,1,1.0
asi,en,un,1,2,0.5
me,regalaron,un,1,1,1.0
creo,q,un,1,10,0.1
veo,grasias,un,1,1,1.0
depende,de,un,1,1,1.0
los,vende,un,1,1,1.0
yo,tengo,un,1,2,0.5
ya,tiene,un,1,3,0.3333333333333333
fuerte,nooombre,un,1,1,1.0
viernes,hara,un,1,1,1.0
niii,no,un,1,1,1.0
jjajaj,hacemos,un,1,1,1.0
te,mande,un,1,1,1.0
yisu,creabamos,un,1,1,1.0
me,haces,un,2,2,1.0
jajajajjaja,jajajajajajaja,umiyado,1,1,1.0
jajaj,x2,ulisesjuega17,1,1,1.0
estos,no,uff,1,1,1.0
prestar,la,tuyo,1,1,1.0
mando,nada,tuviste,1,1,1.0
nd,ya,tus,1,2,0.5
me,pasas,tus,1,1,1.0
mimi,bn,tu,1,3,0.3333333333333333
oo,y,tu,1,1,1.0
gracias,x,tu,1,1,1.0
eso,crees,tu,1,1,1.0
pones,a,tu,1,1,1.0
jajajajajaj,es,tu,1,1,1.0
nada,y,tu,1,1,1.0
bien,y,tu,3,6,0.5
un,yogursito,tu,1,1,1.0
no,y,tu,1,2,0.5
va,y,tu,1,2,0.5
ya,llego,tu,1,1,1.0
ontan,x100000,tu,1,1,1.0
problema,metiendo,tu,1,1,1.0
eiii,x2,tt,1,1,1.0
negro,siiii,tt,1,1,1.0
ya,ves,tt,1,1,1.0
hubieran,sacado,tt,1,1,1.0
bonita,estaaaaa,tt,1,1,1.0
tt,por,tt,1,1,1.0
es,obligatorio,tt,1,1,1.0
keria,levantarme,tt,1,1,1.0
le,paso,tt,1,1,1.0
mal,siiii,tt,1,1,1.0
eh,meper,tt,1,1,1.0
a,si,tt,1,5,0.2
si,no,tt,1,9,0.1111111111111111
esta,bn,tryhard,1,4,0.25
niyo,y,trngo,1,1,1.0
si,estoy,triste,1,2,0.5
me,toco,tremendo,1,1,1.0
yo,tengo,tremenda,1,2,0.5
obtiene,a,traves,1,1,1.0
hacemos,un,trato,1,1,1.0
metiendo,tu,traslapada,1,1,1.0
x100000,tu,tranqui,1,1,1.0
no,ipota,tranki,1,1,1.0
me,puedes,traer,1,2,0.5
nos,puedes,traer,1,1,1.0
nadie,sabe,trae,1,1,1.0
si,estoy,trabajando,1,2,0.5
los,depas,tr,1,1,1.0
si,no,toy,1,9,0.1111111111111111
dormire,pero,toy,1,1,1.0
jajajj,ya,toy,1,1,1.0
yap,ya,toy,1,1,1.0
aaaaa,xciertooo,topaste,1,1,1.0
si,lo,topaba,1,5,0.2
amaban,q,tonto,1,1,1.0
chiko,ya,tomen,1,1,1.0
chica,estas,tomando,1,1,1.0
lo,q,todos,1,6,0.16666666666666666
se,q,todos,1,2,0.5
nada,no,todobn,1,1,1.0
si,sobre,todo,1,1,1.0
de,devorartelo,todo,1,1,1.0
es,q,todas,1,14,0.07142857142857142
medio,aceptables,toda,1,1,1.0
hoy,me,toco,1,1,1.0
mañana,me,toca,1,1,1.0
jajaja,si,to,1,3,0.3333333333333333
animo,si,to,1,1,1.0
gracias,bien,to,1,1,1.0
juego,dress,to,1,1,1.0
el,martes,tmb,1,1,1.0
debes,dsrme,tmb,1,1,1.0
ya,vengo,tmb,1,1,1.0
juveniles,ahi,tmb,1,1,1.0
ceros,yo,tmb,1,1,1.0
me,muero,tmb,1,2,0.5
aaaa,pero,tmb,1,1,1.0
siiii,yo,tmb,1,1,1.0
tanto,si,tmb,1,1,1.0
rhcp,pero,tmb,1,1,1.0
mi,fav,tmb,1,3,0.3333333333333333
pero,por,tirarla,1,1,1.0
haciendo,una,tipo,1,1,1.0
en,el,tiktok,1,6,0.16666666666666666
si,vdd,tienes,1,1,1.0
las,cosas,tienes,1,2,0.5
uu,perdoname,tienes,1,1,1.0
loq,vieron,tienes,1,1,1.0
tuyo,si,tienes,1,1,1.0
algunos,ni,tienen,1,1,1.0
ya,llegue,tiene,1,1,1.0
helao,no,tiene,1,1,1.0
fui,ya,tiene,1,1,1.0
siii,ya,tiene,1,1,1.0
ya,no,tiene,1,8,0.125
creo,q,tiene,1,10,0.1
guglie,y,tiene,1,1,1.0
pq,yena,tiene,1,1,1.0
saku,ya,tiene,1,1,1.0
ya,lleva,tiempo,1,1,1.0
y,a,ti,3,3,1.0
bien,a,ti,1,1,1.0
voy,pidiendo,thx,1,1,1.0
gusta,mmm,the,1,1,1.0
una,tipo,tesis,1,1,1.0
es,la,tesis,1,1,1.0
la,tesis,tesis,1,2,0.5
va,la,tesis,1,2,0.5
miedo,mi,termo,1,1,1.0
q,ya,termine,1,3,0.3333333333333333
y,tu,terminas,1,7,0.14285714285714285
siempre,han,tenido,1,1,1.0
jeje,pero,tenias,1,1,1.0
backrooms,si,tenian,1,1,1.0
programas,q,teniamos,1,1,1.0
no,si,tenia,1,3,0.3333333333333333
de,hecho,tenia,1,7,0.14285714285714285
recordaba,q,tenia,1,1,1.0
semana,ya,tengo,1,1,1.0
y,si,tengo,1,1,1.0
estudiar,pq,tengo,1,1,1.0
no,puedo,tengo,1,2,0.5
ayuda,mañana,tengo,1,1,1.0
va,hoy,tengo,1,1,1.0
examen,q,tengo,1,1,1.0
jajajja,no,tengo,1,1,1.0
no,le,tengo,1,4,0.25
pero,ya,tengo,1,4,0.25
acorde,q,tengo,1,1,1.0
examen,y,tengo,1,1,1.0
literalmente,no,tengo,1,1,1.0
no,yo,tengo,1,1,1.0
no,pq,tengo,1,2,0.5
know,yo,tengo,1,1,1.0
ya,lo,tengo,1,4,0.25
ya,las,tengo,1,1,1.0
vale,gracias,tengo,1,1,1.0
pero,no,tengo,1,20,0.05
no,los,tengo,1,2,0.5
esta,no,tengo,1,1,1.0
q,no,tengo,1,9,0.1111111111111111
tabla,productos,tengo,1,1,1.0
destinada,a,tener,1,1,1.0
q,debemos,tener,1,1,1.0
cuales,tablas,tenemos,1,1,1.0
se,si,tendria,1,3,0.3333333333333333
si,llego,tempra,1,1,1.0
termine,la,temporada,1,1,1.0
label,de,teddy,1,1,1.0
es,q,teddy,1,14,0.07142857142857142
avr,yap,te,1,1,1.0
quedamos,no,te,1,1,1.0
q,tonto,te,1,1,1.0
examenes,yo,te,1,1,1.0
como,no,te,1,1,1.0
sii,no,te,1,2,0.5
devorando,pqqq,te,1,1,1.0
sabe,q,te,1,1,1.0
espero,q,te,1,3,0.3333333333333333
x,eso,te,1,3,0.3333333333333333
de,vdd,te,1,3,0.3333333333333333
lic,jajajjaj,te,1,1,1.0
ps,q,te,1,1,1.0
pero,no,te,1,20,0.05
nd,cual,te,1,1,1.0
asi,q,te,1,6,0.16666666666666666
no,se,te,1,16,0.0625
espero,que,te,1,1,1.0
q,se,te,1,6,0.16666666666666666
de,q,te,1,13,0.07692307692307693
para,ayer,te,1,1,1.0
habia,olvidado,te,1,1,1.0
si,luego,te,1,1,1.0
ontas,ya,te,1,1,1.0
con,q,te,1,1,1.0
a,donde,te,1,1,1.0
esta,lejitos,te,1,1,1.0
frio,si,te,1,1,1.0
dices,si,te,1,1,1.0
bp,pero,te,1,1,1.0
50,veces,te,1,1,1.0
vez,pero,te,1,1,1.0
jaja,oyeeee,te,1,1,1.0
jajajjajaja,si,te,1,1,1.0
hay,vamos,te,1,1,1.0
tt,avr,te,1,1,1.0
ya,no,te,1,8,0.125
ola,ahi,te,1,1,1.0
algo,ya,te,1,1,1.0
esquemas,pero,te,1,1,1.0
yo,mi,tareaaa,1,1,1.0
bn,de,tarea,1,2,0.5
monton,de,tarea,1,1,1.0
kiero,hacer,tarea,1,1,1.0
estaba,haciendo,tarea,1,1,1.0
pq,tengo,tarea,1,2,0.5
llevaba,la,tarea,1,1,1.0
a,hacer,tarea,1,1,1.0
quedarme,hasta,tarde,1,1,1.0
ya,bn,tarde,1,1,1.0
voy,a,tardar,1,4,0.25
se,llevaran,tantos,1,1,1.0
pero,no,tanto,2,20,0.1
se,q,tan,1,2,0.5
no,tiene,tampoco,1,2,0.5
le,entendi,tampoco,1,2,0.5
a,mi,tambien,1,5,0.2
ay,yo,tambieeeen,1,1,1.0
mas,intenso,talves,1,1,1.0
tu,q,tal,2,2,1.0
asi,q,tal,1,6,0.16666666666666666
creditos,jajaja,tal,1,1,1.0
avr,q,tal,1,2,0.5
no,se,tal,1,16,0.0625
y,q,tal,1,2,0.5
ti,provecho,tal,1,1,1.0
tt,nada,tal,1,2,0.5
los,hechos,tal,1,1,1.0
cierto,q,tal,1,1,1.0
ti,q,tal,1,1,1.0
pooooorrrrr,ek,tal,1,1,1.0
sacaste,jajajaj,tabn,1,1,1.0
les,entendi,tabn,1,1,1.0
lo,pasas,tabn,1,1,1.0
sabes,cuales,tablas,1,1,1.0
decia,q,tabla,1,1,1.0
ai,deja,t,1,1,1.0
que,no,sé,1,3,0.3333333333333333
lucky,girl,syndrome,1,1,1.0
si,how,sweet,1,1,1.0
ernesto,con,sus,1,1,1.0
bueno,se,supone,1,1,1.0
gracias,como,supiste,1,1,1.0
naaa,soty,supersonic,1,1,1.0
poke,esta,super,1,1,1.0
no,tengo,sueño,1,5,0.2
tenia,mucho,sueño,1,1,1.0
ya,tengo,sueño,1,2,0.5
noooombre,deseame,suerte,1,1,1.0
nd,claro,suerte,1,1,1.0
siii,lily,suena,1,1,1.0
estrella,en,su,1,1,1.0
q,tiene,su,1,1,1.0
escuela,en,su,1,1,1.0
escuchaste,whiplash,su,1,1,1.0
ciberseguridad,en,su,1,1,1.0
ya,tomen,su,1,1,1.0
mmm,the,strokes,1,1,1.0
le,hice,stream,1,1,1.0
un,prro,sticker,1,1,1.0
es,el,sprayy,1,4,0.25
ei,kedo,sp,1,1,1.0
se,ve,sp,2,4,0.5
pero,no,soñe,3,20,0.15
y,no,soñe,1,1,1.0
tt,no,soñe,1,1,1.0
hajaja,q,soñaste,1,1,1.0
pero,como,soy,1,1,1.0
poke,ahora,soy,1,1,1.0
dieces,pq,soy,1,1,1.0
diciendo,eyeyey,soy,1,1,1.0
edo,naaa,soty,1,1,1.0
asi,o,sorry,1,2,0.5
ojala,saka,sopita,1,1,1.0
grupo,ni,sono,1,1,1.0
de,queso,son,1,2,0.5
pero,tmb,son,1,2,0.5
pq,asi,son,1,1,1.0
el,q,son,1,1,1.0
facil,segun,son,1,1,1.0
caso,solo,son,1,1,1.0
xfa,nomas,son,1,1,1.0
de,planilandia,son,1,1,1.0
según,si,son,1,1,1.0
bien,oficialmente,somos,1,1,1.0
ya,te,soltaron,1,2,0.5
si,yo,solo,1,2,0.5
recordo,al,solo,1,1,1.0
na,ha,solo,1,1,1.0
to,bien,solo,1,3,0.3333333333333333
aburri,siii,solo,1,1,1.0
q,no,solo,1,9,0.1111111111111111
q,el,solo,1,1,1.0
q,estudiosos,solo,1,1,1.0
ru,caso,solo,1,1,1.0
me,defiendo,sola,1,1,1.0
a,conseguir,sola,1,1,1.0
esta,algo,sobrevalorada,1,1,1.0
siiii,si,sobre,1,1,1.0
a,no,sobre,1,3,0.3333333333333333
aca,fuersa,sis,1,1,1.0
quien,essss,sip,1,1,1.0
zzz,si,sip,1,1,1.0
la,buldak,sip,1,1,1.0
otaku,jajajaj,sip,1,1,1.0
ekis,x2,sip,1,1,1.0
si,vi,sip,1,2,0.5
dices,eso,sip,1,2,0.5
roblox,jajajajaj,sip,1,1,1.0
siii,siii,sip,1,3,0.3333333333333333
mi,casa,sip,1,4,0.25
lo,haces,sip,1,1,1.0
año,vda,sip,1,1,1.0
las,9,sioke,1,1,1.0
esta,muy,siok,1,2,0.5
no,es,singgg,1,7,0.14285714285714285
q,escribiste,sing,1,1,1.0
esperateee,donde,sincro,1,1,1.0
